config,seed,weight_init,normalization,augmentations,lr,momentum,epoch,train_loss,train_acc,val_loss,val_acc,test_acc,converged_epoch
+dual_reg,123,he,z_score,flip+jitter,0.01,0.04,1,2.3061177226475307,0.7550446428571429,0.5075679126110944,0.8282857142857143,,
+dual_reg,123,he,z_score,flip+jitter,0.01,0.04,2,2.0526180723735266,0.8373214285714285,0.45268043076450176,0.8445714285714285,,
+dual_reg,123,he,z_score,flip+jitter,0.01,0.04,3,1.976765878541129,0.8628125,0.440855972468853,0.8511428571428571,,
+dual_reg,123,he,z_score,flip+jitter,0.01,0.04,4,1.9266796159744262,0.88,0.42381151670759376,0.8561428571428571,,
+dual_reg,123,he,z_score,flip+jitter,0.01,0.04,5,1.890707722731999,0.8960714285714285,0.41170197373086753,0.8638571428571429,,
+dual_reg,123,he,z_score,flip+jitter,0.01,0.04,6,1.8595253556115288,0.9083482142857143,0.4044354112310843,0.8634285714285714,,
+dual_reg,123,he,z_score,flip+jitter,0.01,0.04,7,1.833747226170131,0.9169642857142857,0.4018750251694159,0.8637142857142858,,
+dual_reg,123,he,z_score,flip+jitter,0.01,0.04,8,1.8116565339905875,0.9266964285714285,0.39347654188221154,0.8655714285714285,,
+dual_reg,123,he,z_score,flip+jitter,0.01,0.04,9,1.7919795434815542,0.934375,0.38878833651542666,0.8692857142857143,,
+dual_reg,123,he,z_score,flip+jitter,0.01,0.04,10,1.7729157059533256,0.9424553571428571,0.39428720921278,0.8667142857142857,,
+dual_reg,123,he,z_score,flip+jitter,0.01,0.04,11,1.7574248436519078,0.949375,0.4038530081510544,0.8647142857142858,,
+dual_reg,123,he,z_score,flip+jitter,0.01,0.04,12,1.743808366911752,0.9548214285714286,0.3899916922504252,0.8712857142857143,,
+dual_reg,123,he,z_score,flip+jitter,0.01,0.04,13,1.7301586311204094,0.9601785714285714,0.4037435621023178,0.8647142857142858,,
+dual_reg,123,he,z_score,flip+jitter,0.01,0.04,14,1.7183071919849942,0.9653571428571428,0.3957282937385819,0.8705714285714286,,
+dual_reg,123,he,z_score,flip+jitter,0.01,0.04,15,1.7079112124443054,0.9692410714285714,0.3974703089757399,0.8674285714285714,,
+dual_reg,123,he,z_score,flip+jitter,0.01,0.04,16,1.6970152497291564,0.9738839285714286,0.40268239825963975,0.8691428571428571,,
+dual_reg,123,he,z_score,flip+jitter,0.01,0.04,17,1.6890195870399476,0.9750892857142858,0.4001996945251118,0.8721428571428571,,
+dual_reg,123,he,z_score,flip+jitter,0.01,0.04,18,1.6807913483892167,0.9775892857142857,0.4010361388325691,0.875,,
+dual_reg,123,he,z_score,flip+jitter,0.01,0.04,19,1.6725015105519976,0.9815178571428571,0.41174967925656925,0.8701428571428571,,
+dual_reg,123,he,z_score,flip+jitter,0.01,0.04,20,1.6647358434540884,0.9842857142857143,0.40656812976707113,0.8718571428571429,,
+dual_reg,123,he,z_score,flip+jitter,0.01,0.04,21,1.6588501674788338,0.9859375,0.40829622528769755,0.8727142857142857,,
+dual_reg,123,he,z_score,flip+jitter,0.01,0.04,22,1.6534817957878112,0.9874107142857143,0.40985455851663244,0.8747142857142857,,
+dual_reg,123,he,z_score,flip+jitter,0.01,0.04,23,1.6481427945409501,0.9898660714285714,0.41568675420501017,0.8731428571428571,,
+dual_reg,123,he,z_score,flip+jitter,0.01,0.04,24,1.643386128970555,0.9900892857142857,0.4235569330778989,0.8722857142857143,,
+dual_reg,123,he,z_score,flip+jitter,0.01,0.04,25,1.6390485756737845,0.9912053571428572,0.41978144212202595,0.8727142857142857,,
+dual_reg,123,he,z_score,flip+jitter,0.01,0.04,26,1.634438534123557,0.9924553571428572,0.4282983412796801,0.873,,
+dual_reg,123,he,z_score,flip+jitter,0.01,0.04,27,1.6307950169699532,0.9934375,0.42843379215760663,0.872,0.8737142857142857,27.0
