config,seed,weight_init,normalization,augmentations,lr,momentum,epoch,train_loss,train_acc,val_loss,val_acc,test_acc,converged_epoch
+he_init,42,he,z_score,flip+jitter,0.01,0.04,1,0.7036238695042474,0.759375,0.5357265813784166,0.8162857142857143,,
+he_init,42,he,z_score,flip+jitter,0.01,0.04,2,0.4575661835074425,0.8365178571428571,0.4917718256061727,0.8338571428571429,,
+he_init,42,he,z_score,flip+jitter,0.01,0.04,3,0.3849078874502863,0.8624107142857143,0.4651260649616068,0.836,,
+he_init,42,he,z_score,flip+jitter,0.01,0.04,4,0.3360639740313802,0.8823214285714286,0.47217448218302294,0.8395714285714285,,
+he_init,42,he,z_score,flip+jitter,0.01,0.04,5,0.29987810547862737,0.8963392857142857,0.44479441412470555,0.8452857142857143,,
+he_init,42,he,z_score,flip+jitter,0.01,0.04,6,0.27032813253147264,0.9077232142857142,0.44857172627340663,0.8464285714285714,,
+he_init,42,he,z_score,flip+jitter,0.01,0.04,7,0.24514294060213226,0.9183928571428571,0.4375833661718802,0.8527142857142858,,
+he_init,42,he,z_score,flip+jitter,0.01,0.04,8,0.22300618693232535,0.9279017857142857,0.44942156537012623,0.847,,
+he_init,42,he,z_score,flip+jitter,0.01,0.04,9,0.20317991137504576,0.9362053571428571,0.4393224350430749,0.8545714285714285,,
+he_init,42,he,z_score,flip+jitter,0.01,0.04,10,0.18676991139139448,0.9431696428571429,0.43355547325177624,0.852,,
+he_init,42,he,z_score,flip+jitter,0.01,0.04,11,0.17181703865528106,0.95,0.4348844780163331,0.8565714285714285,,
+he_init,42,he,z_score,flip+jitter,0.01,0.04,12,0.15665480574326857,0.9553125,0.4356475575403734,0.856,,
+he_init,42,he,z_score,flip+jitter,0.01,0.04,13,0.1445340488425323,0.9614732142857143,0.44303929710930046,0.8554285714285714,,
+he_init,42,he,z_score,flip+jitter,0.01,0.04,14,0.13299169960830892,0.9646875,0.4366141228513284,0.8608571428571429,,
+he_init,42,he,z_score,flip+jitter,0.01,0.04,15,0.12196562319993973,0.9700892857142858,0.4447717196562073,0.858,,
+he_init,42,he,z_score,flip+jitter,0.01,0.04,16,0.1124267257962908,0.9730357142857143,0.4550153296102177,0.8581428571428571,,
+he_init,42,he,z_score,flip+jitter,0.01,0.04,17,0.10390558888869626,0.97625,0.4658195686611262,0.8548571428571429,,
+he_init,42,he,z_score,flip+jitter,0.01,0.04,18,0.09591201949332441,0.97875,0.46330862709067083,0.8568571428571429,,
+he_init,42,he,z_score,flip+jitter,0.01,0.04,19,0.08879154009478432,0.9814285714285714,0.4567346677184105,0.86,,
+he_init,42,he,z_score,flip+jitter,0.01,0.04,20,0.08259353254522596,0.9830803571428571,0.45503943345763465,0.8624285714285714,,
+he_init,42,he,z_score,flip+jitter,0.01,0.04,21,0.07617904108549868,0.9861607142857143,0.4692185405980457,0.8608571428571429,,
+he_init,42,he,z_score,flip+jitter,0.01,0.04,22,0.07065512883876052,0.9875,0.4689376294612885,0.8615714285714285,,
+he_init,42,he,z_score,flip+jitter,0.01,0.04,23,0.06524495885840484,0.9886607142857143,0.47036952633749357,0.8621428571428571,,
+he_init,42,he,z_score,flip+jitter,0.01,0.04,24,0.060891700972403796,0.9904017857142857,0.47332113899967887,0.8597142857142858,0.8648571428571429,24.0
