config,seed,weight_init,normalization,augmentations,lr,momentum,epoch,train_loss,train_acc,val_loss,val_acc,test_acc,converged_epoch
+l1_reg,1,he,z_score,flip+jitter,0.001,0.9,1,7.889070982251848,0.6933035714285715,0.6210747653787786,0.7941428571428572,,
+l1_reg,1,he,z_score,flip+jitter,0.001,0.9,2,7.478762302398682,0.8233035714285715,0.5554308162494139,0.814,,
+l1_reg,1,he,z_score,flip+jitter,0.001,0.9,3,7.358732378823417,0.8545535714285715,0.528214350884611,0.8215714285714286,,
+l1_reg,1,he,z_score,flip+jitter,0.001,0.9,4,7.2730542727879115,0.8725,0.5034639344973998,0.8264285714285714,,
+l1_reg,1,he,z_score,flip+jitter,0.001,0.9,5,7.1994702311924526,0.8898214285714285,0.4913708067753098,0.8377142857142857,,
+l1_reg,1,he,z_score,flip+jitter,0.001,0.9,6,7.137369760785784,0.9070535714285715,0.487851558490233,0.8397142857142857,,
+l1_reg,1,he,z_score,flip+jitter,0.001,0.9,7,7.079008919852121,0.9169642857142857,0.48851458782499485,0.8402857142857143,,
+l1_reg,1,he,z_score,flip+jitter,0.001,0.9,8,7.028035155705044,0.9244642857142857,0.48940285674550316,0.837,,
+l1_reg,1,he,z_score,flip+jitter,0.001,0.9,9,6.978811482020787,0.9336607142857143,0.4806189466606487,0.8434285714285714,,
+l1_reg,1,he,z_score,flip+jitter,0.001,0.9,10,6.930110449109758,0.9410714285714286,0.4842407822608948,0.8385714285714285,,
+l1_reg,1,he,z_score,flip+jitter,0.001,0.9,11,6.886063444955008,0.9449107142857143,0.48723892163146626,0.8435714285714285,,
+l1_reg,1,he,z_score,flip+jitter,0.001,0.9,12,6.842469915662493,0.9524107142857143,0.4761715611273592,0.8452857142857143,,
+l1_reg,1,he,z_score,flip+jitter,0.001,0.9,13,6.799245120457241,0.956875,0.4765470407225869,0.844,,
+l1_reg,1,he,z_score,flip+jitter,0.001,0.9,14,6.75944365637643,0.9604464285714286,0.4781541336666454,0.8472857142857143,,
+l1_reg,1,he,z_score,flip+jitter,0.001,0.9,15,6.719572388785226,0.9644642857142857,0.47532518208026886,0.8501428571428571,,
+l1_reg,1,he,z_score,flip+jitter,0.001,0.9,16,6.680361423492432,0.9671428571428572,0.4765649061311375,0.8482857142857143,,
+l1_reg,1,he,z_score,flip+jitter,0.001,0.9,17,6.642432392665318,0.9707142857142858,0.47984837767752736,0.8495714285714285,,
+l1_reg,1,he,z_score,flip+jitter,0.001,0.9,18,6.6048303304399765,0.9734821428571429,0.48039989512075076,0.8498571428571429,,
+l1_reg,1,he,z_score,flip+jitter,0.001,0.9,19,6.567605359213693,0.9755357142857143,0.4871944790536707,0.8472857142857143,0.8488571428571429,19.0
