config,seed,weight_init,normalization,augmentations,lr,momentum,epoch,train_loss,train_acc,val_loss,val_acc,test_acc,converged_epoch
fully_supervised_100pct,1,he,z_score,flip+jitter,0.001,0.9,1,3.3401513516562327,0.9255178571428572,0.31527149189602244,0.8897142857142857,,
fully_supervised_100pct,1,he,z_score,flip+jitter,0.001,0.9,2,3.122972275870187,0.9253660714285714,0.3138989275152033,0.8911428571428571,,
fully_supervised_100pct,1,he,z_score,flip+jitter,0.001,0.9,3,2.924438523837498,0.9228303571428571,0.31471602496775714,0.8895714285714286,,
fully_supervised_100pct,1,he,z_score,flip+jitter,0.001,0.9,4,2.73917798437391,0.9229464285714286,0.3173942202871496,0.8871428571428571,,
fully_supervised_100pct,1,he,z_score,flip+jitter,0.001,0.9,5,2.5691824155535015,0.9218303571428571,0.3138284578919411,0.8887142857142857,,
fully_supervised_100pct,1,he,z_score,flip+jitter,0.001,0.9,6,2.4116372013092042,0.9204107142857143,0.31088632399385624,0.8925714285714286,,
fully_supervised_100pct,1,he,z_score,flip+jitter,0.001,0.9,7,2.266548531804766,0.9197321428571429,0.32033709396015514,0.8871428571428571,,
fully_supervised_100pct,1,he,z_score,flip+jitter,0.001,0.9,8,2.1332686403819494,0.9187589285714286,0.31668557186018337,0.8912857142857142,,
fully_supervised_100pct,1,he,z_score,flip+jitter,0.001,0.9,9,2.00907088967732,0.9183660714285714,0.31860156113451177,0.8882857142857142,,
fully_supervised_100pct,1,he,z_score,flip+jitter,0.001,0.9,10,1.8939120754514422,0.9180267857142858,0.31578481996601276,0.89,,
fully_supervised_100pct,1,he,z_score,flip+jitter,0.001,0.9,11,1.7879596872329713,0.9167678571428571,0.3220488812435757,0.8827142857142857,,
fully_supervised_100pct,1,he,z_score,flip+jitter,0.001,0.9,12,1.69120155279977,0.9163214285714286,0.31191666410727936,0.891,,
fully_supervised_100pct,1,he,z_score,flip+jitter,0.001,0.9,13,1.598581780706133,0.9163660714285714,0.3204116932370446,0.8874285714285715,,
fully_supervised_100pct,1,he,z_score,flip+jitter,0.001,0.9,14,1.515292594909668,0.9160357142857143,0.31501293751326476,0.8868571428571429,,
fully_supervised_100pct,1,he,z_score,flip+jitter,0.001,0.9,15,1.436855837413243,0.9152410714285715,0.31858976984565907,0.8861428571428571,,
fully_supervised_100pct,1,he,z_score,flip+jitter,0.001,0.9,16,1.3633700960023063,0.9153571428571429,0.3123979763551192,0.8898571428571429,,
fully_supervised_100pct,1,he,z_score,flip+jitter,0.001,0.9,17,1.2959661584581648,0.915625,0.31354437321424483,0.8867142857142857,,
fully_supervised_100pct,1,he,z_score,flip+jitter,0.001,0.9,18,1.2313236617360797,0.9165178571428572,0.31501488401131195,0.8878571428571429,,
fully_supervised_100pct,1,he,z_score,flip+jitter,0.001,0.9,19,1.1725085148130145,0.9165446428571429,0.31655835075811906,0.8854285714285715,,
fully_supervised_100pct,1,he,z_score,flip+jitter,0.001,0.9,20,1.1172197494506837,0.9174375,0.31290216838771645,0.8901428571428571,,
fully_supervised_100pct,1,he,z_score,flip+jitter,0.001,0.9,21,1.065789951494762,0.9170803571428572,0.3088814002546397,0.8931428571428571,,
fully_supervised_100pct,1,he,z_score,flip+jitter,0.001,0.9,22,1.0175967909949166,0.9173482142857143,0.31177492534572426,0.8912857142857142,,
fully_supervised_100pct,1,he,z_score,flip+jitter,0.001,0.9,23,0.9731100256443024,0.9179017857142857,0.310420343821699,0.8895714285714286,,
fully_supervised_100pct,1,he,z_score,flip+jitter,0.001,0.9,24,0.930373329435076,0.9186696428571428,0.3269443348050117,0.8858571428571429,0.8941428571428571,24.0
