config,seed,weight_init,normalization,augmentations,lr,momentum,epoch,train_loss,train_acc,val_loss,val_acc,test_acc,converged_epoch
init_he,12345,he,z_score,flip+jitter,0.01,0.75,1,0.6872763189247676,0.7649107142857143,0.6190106624906714,0.8098571428571428,,
init_he,12345,he,z_score,flip+jitter,0.01,0.75,2,0.3661822098493576,0.8733928571428572,0.5751921092922038,0.825,,
init_he,12345,he,z_score,flip+jitter,0.01,0.75,3,0.26278685348374503,0.911875,0.5557886985215273,0.8328571428571429,,
init_he,12345,he,z_score,flip+jitter,0.01,0.75,4,0.20267255829913275,0.936875,0.5780282669446685,0.8355714285714285,,
init_he,12345,he,z_score,flip+jitter,0.01,0.75,5,0.1516194126861436,0.9553571428571429,0.5684273041107438,0.8381428571428572,,
init_he,12345,he,z_score,flip+jitter,0.01,0.75,6,0.12104160785675049,0.9674107142857142,0.5645362532951615,0.8428571428571429,,
init_he,12345,he,z_score,flip+jitter,0.01,0.75,7,0.09421086549758911,0.9789285714285715,0.5942820741371675,0.8388571428571429,,
init_he,12345,he,z_score,flip+jitter,0.01,0.75,8,0.07308868795633316,0.985,0.6059782636436549,0.8411428571428572,,
init_he,12345,he,z_score,flip+jitter,0.01,0.75,9,0.060477242352707045,0.9903571428571428,0.6063985472375696,0.8402857142857143,,
init_he,12345,he,z_score,flip+jitter,0.01,0.75,10,0.04899174958467484,0.9925,0.6342962749979713,0.8422857142857143,,
init_he,12345,he,z_score,flip+jitter,0.01,0.75,11,0.04004528193069356,0.9952678571428571,0.6150333540006118,0.844,,
init_he,12345,he,z_score,flip+jitter,0.01,0.75,12,0.032411833964288234,0.9969642857142857,0.6285269152034413,0.8418571428571429,,
init_he,12345,he,z_score,flip+jitter,0.01,0.75,13,0.028382998380277837,0.9982142857142857,0.659643072702668,0.8395714285714285,,
init_he,12345,he,z_score,flip+jitter,0.01,0.75,14,0.02306978330016136,0.9991964285714285,0.651844658228484,0.8458571428571429,,
init_he,12345,he,z_score,flip+jitter,0.01,0.75,15,0.01960075132814901,0.9995535714285714,0.6714033365249634,0.8421428571428572,,
init_he,12345,he,z_score,flip+jitter,0.01,0.75,16,0.01737721529922315,0.9996428571428572,0.6671678682619875,0.8427142857142857,,
init_he,12345,he,z_score,flip+jitter,0.01,0.75,17,0.014943774691117661,0.9999107142857143,0.6877750711007552,0.8418571428571429,,
init_he,12345,he,z_score,flip+jitter,0.01,0.75,18,0.013527361457901342,0.9998214285714285,0.6845628670670769,0.8432857142857143,,
init_he,12345,he,z_score,flip+jitter,0.01,0.75,19,0.011961233083690915,1.0,0.6943068302490495,0.8424285714285714,,
init_he,12345,he,z_score,flip+jitter,0.01,0.75,20,0.010732097351657493,0.9999107142857143,0.6995554858987981,0.846,,
init_he,12345,he,z_score,flip+jitter,0.01,0.75,21,0.009608252067118883,1.0,0.705528981035406,0.8448571428571429,,
init_he,12345,he,z_score,flip+jitter,0.01,0.75,22,0.008935965823807887,1.0,0.7119377932765267,0.8437142857142857,,
init_he,12345,he,z_score,flip+jitter,0.01,0.75,23,0.00828577784555299,1.0,0.7220195269042795,0.8451428571428572,,
init_he,12345,he,z_score,flip+jitter,0.01,0.75,24,0.007521450367889234,1.0,0.7282466460358012,0.8427142857142857,0.8491428571428571,24.0
